feature_set,model,repeat,fold,rmse,mae,r2,n,rmse_hard
old 12,mlp,1,3,32.916854148178516,17.400628124979292,0.9413605937481179,317.0,70.4758150407971
old 12,mlp,1,4,30.35430210347972,15.870479383731665,0.9291881731960345,317.0,65.2467945997806
old 12,mlp,2,0,38.53742608287627,19.290599992339995,0.9060843123442729,318.0,79.07474493015978
old 12,mlp,2,1,34.117901226216766,16.316796692089145,0.916305913937807,317.0,70.2911740200972
old 12,mlp,2,2,32.64992840661602,15.638944861581741,0.9376220942673095,317.0,68.63657687392869
old 12,mlp,2,3,28.288542659887348,15.327908001053002,0.9539569082541585,317.0,56.182134575836905
old 12,mlp,2,4,34.78159577081975,16.10358594052673,0.9209665061831286,317.0,64.87573739808182
old 12,ridge,0,0,39.20192240749545,23.483282699072998,0.9134563705888589,318.0,83.05054741393107
old 12,ridge,0,1,40.66768468764373,22.263337353284975,0.8941153603895907,317.0,77.87621234985293
old 12,ridge,0,2,37.919612193085676,23.79404319591392,0.895345542560012,317.0,70.18590412694469
old 12,ridge,0,3,37.67616791804153,21.779974436132544,0.8777018786524188,317.0,83.9282646501893
old 12,ridge,0,4,41.16622475883983,26.195474571348594,0.917777158315166,317.0,79.54748900357511
old 12,ridge,1,0,37.440307226690955,22.89090021180124,0.9244853893054432,318.0,75.36287686175882
old 12,ridge,1,1,41.558953932126634,23.96116034926913,0.8811983404313523,317.0,80.36480539074007
old 12,ridge,1,2,40.60218245411419,24.287437307149595,0.8894830704577278,317.0,78.94357408528299
old 12,ridge,1,3,40.53071476914433,24.089933290724694,0.9110959709333966,317.0,87.36152765250222
old 12,ridge,1,4,36.812688277344755,22.421504411730183,0.8958497394416053,317.0,72.86177216195928
old 12,ridge,2,0,39.84578599289826,24.100082755304364,0.8995991176592911,318.0,79.07620307741216
old 12,ridge,2,1,40.997999896614466,23.541011163331067,0.8791475396969939,317.0,85.09531980659389
old 12,ridge,2,2,44.05408083337596,24.39119556833436,0.8864365410912272,317.0,96.96600253387636
old 12,ridge,2,3,37.533108830836454,22.927117943713586,0.9189463819475663,317.0,74.24273982910547
old 12,ridge,2,4,34.448678693314875,22.73281788617902,0.9224722264678717,317.0,60.07574966046519
old 12,xgboost,0,0,41.528678461798016,18.895852471670477,0.9028782281060641,318.0,95.09385557039484
old 12,xgboost,0,1,36.47776403450862,17.293858191588008,0.9148096334624667,317.0,68.28367074953611
old 12,xgboost,0,2,41.038545238498344,18.30900862742138,0.8774216218873412,317.0,79.48449414367627
old 12,xgboost,0,3,23.83755199662512,14.647703036847522,0.9510435807986616,317.0,45.585503927412454
old 12,xgboost,0,4,37.86304387434315,18.053645210684888,0.9304429027274156,317.0,76.22138825683602
old 12,xgboost,1,0,33.7849585968712,16.129448857652196,0.9385107830765268,318.0,69.18056750112802
old 12,xgboost,1,1,38.43912778772892,17.964312848605086,0.8983656903237736,317.0,74.72483955756506
old 12,xgboost,1,2,36.40724310864123,17.556513553347422,0.91114013661693,317.0,70.16675162013564
old 12,xgboost,1,3,37.67133960236639,17.927633694733345,0.923197554974142,317.0,85.4745530315645
old 12,xgboost,1,4,30.465603945177758,15.81094148491411,0.9286679216377771,317.0,66.83664832615969
old 12,xgboost,2,0,35.02874411990961,18.02689023165721,0.9224071208338396,318.0,70.65423014438561
old 12,xgboost,2,1,40.032684270004715,17.67098497524707,0.8847715874373205,317.0,87.8261540593499
old 12,xgboost,2,2,34.061131728316866,15.575613410344168,0.9321133354910849,317.0,70.2132262639502
old 12,xgboost,2,3,32.12669846888234,16.50285067100934,0.9406151691638479,317.0,66.75255491805918
old 12,xgboost,2,4,33.41356222782677,17.628058483093454,0.9270613483031577,317.0,60.76466180484536
