model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,1,0,26.617448777796913,27.589770577446767
ensemble,,,old 12,1,0,25.122832356305473,29.148417736610707
ridge,"{""regressor__model__alpha"": 1}",0.0,curated,1,0,35.892897717022066,38.162520664334046
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,1,0,9.779836201229521,34.76740439449276
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,1,0,24.363686436471625,31.683411497970255
ensemble,,,curated,1,0,20.97414339600657,31.41721764312361
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),1,0,35.55707088260752,35.35213088761467
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),1,0,9.779836201229521,34.76740439449276
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),1,0,23.857304404819526,27.585900409427644
ensemble,,,curated (log),1,0,20.44815622089489,28.75469266923814
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.01}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.01}}",,curated (log),1,0,17.352733672827664,38.22020097177736
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,1,0,35.23591677966009,34.96971113696297
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,1,0,9.6542379543169,34.59321379796932
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,1,0,22.816802919006467,31.165671988593218
ensemble,,,curated (log) + family,1,0,20.043076723612735,29.241149733970445
ridge,"{""regressor__model__alpha"": 1}",0.0,old 12,1,1,38.17437627173928,41.558953932126634
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,old 12,1,1,17.065100390124446,38.43912778772892
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,1,1,22.310572031055614,38.87186040547214
ensemble,,,old 12,1,1,22.596759892425577,35.089813063890254
ridge,"{""regressor__model__alpha"": 1}",0.0,curated,1,1,35.738069230928524,39.56485076450296
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,1,1,5.936840438753472,38.967664920312075
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,1,1,27.842014031428796,41.940885052933474
ensemble,,,curated,1,1,21.279544397567992,38.02299762620839
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),1,1,34.69448635250364,40.02230275340653
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),1,1,5.936840438753472,38.967664920312075
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),1,1,23.65024792870611,44.31423099125745
ensemble,,,curated (log),1,1,19.25427659743929,38.524062537326635
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 300, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.01}}",,curated (log),1,1,12.811013881662308,40.20301776812644
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log) + family,1,1,34.24976551044624,39.42637258616306
