strategy,seed,experiment,row,boiling_point,in_spec,hits,cmpdname
random,12,21,592,371.15,False,2,N-tert-Butylisopropylamine
random,12,22,3,111.65,False,2,Methane
random,12,23,395,795.15,False,2,Tetracontane
random,12,24,1068,388.97729,False,2,"4-Methyl-1,5-Heptadiene"
random,12,25,981,453.15,True,3,3-Methyl-4-octanol
random,12,26,324,538.15,False,3,2-Tridecanol
random,12,27,374,357.15,False,3,"2,3-Dimethyl-1-pentene"
random,12,28,522,435.15,False,3,3-Hexyn-1-ol
random,12,29,441,421.45,False,3,"2,2,4-Trimethylheptane"
random,12,30,568,358.15,False,3,5-Methyl-1-hexene
random,12,31,325,447.25,False,3,Decane
random,12,32,271,345.65,False,3,"4,4-Dimethyl-1-pentene"
random,12,33,864,479.15,False,3,6-Methyloctan-1-ol
random,12,34,699,465.45,True,4,5-Undecene
random,12,35,233,329.15,False,4,2-Pentyne
random,12,36,1098,746.15,False,4,1-Tritriacontene
random,12,37,1218,462.15,True,5,"2,4-Dimethyl-4-propylheptane"
random,12,38,1148,429.73095,False,5,"2,2,3-Trimethylbutan-1-ol"
random,12,39,382,427.65,False,5,"2,5-Dimethyl-2-hexanol"
random,12,40,81,397.45,False,5,2-Methoxyethanol
random,12,41,207,354.15,False,5,"1,2-Dimethylpropylamine"
random,12,42,980,419.15,False,5,2-Methyl-3-hexyn-2-ol
random,12,43,1056,616.26,False,5,(Z)-9-Tetradecen-1-ol
random,12,44,513,413.15,False,5,"1,3-Butanediamine"
random,12,45,1084,360.6,False,5,"1,3-Heptadiene"
random,12,46,888,428.93767,False,5,"2,3,4,5-Tetramethylhexane"
random,12,47,969,370.15,False,5,cis-2-Heptene
random,12,48,59,272.65,False,5,Butane
random,12,49,825,463.85,True,6,2-Methyl-1-decene
random,12,50,251,632.15,False,6,Heneicosane
random,12,51,318,404.15,False,6,1-Ethoxy-2-propanol
random,12,52,706,612.15,False,6,2-Methylnonadecane
random,12,53,1179,454.15,True,7,"2,3,3,4,5-Pentamethylhexane"
random,12,54,25,261.45,False,7,Isobutane
random,12,55,963,365.15,False,7,"cis-3,4-Dimethyl-2-pentene"
random,12,56,526,507.15,False,7,"2-Methyl-2-propylpropane-1,3-diol"
random,12,57,408,445.15,False,7,1-Butoxy-2-propanol
random,12,58,316,502.65,False,7,2-Methyldodecane
random,12,59,789,528.15,False,7,3-Tetradecyne
random,12,60,210,388.75,False,7,3-Ethyl-2-methylpentane
random,12,61,105,423.95,False,7,Nonane
random,12,62,683,376.4,False,7,Non-3-yn-1-ol
random,12,63,909,433.26,False,7,"3-Ethyl-2,4-dimethylhexane"
random,12,64,1106,491.65,False,7,"4-Methylpentane-1,4-diol"
random,12,65,751,401.65,False,7,"2,3-Butadien-1-ol"
random,12,66,1018,369.15,False,7,cis-3-Heptene
random,12,67,1129,453.15,True,8,"2,3,4-Trimethyloctane"
random,12,68,905,438.65,False,8,"3,4,4-Trimethylhexan-3-ol"
random,12,69,695,536.15,False,8,2-Tetradecyne
random,12,70,357,368.15,False,8,2-Methyl-2-hexene
random,12,71,1211,468.15,True,9,2-Ethyl-4-methylhexan-1-ol
random,12,72,1173,415.15,False,9,4-Methyl-octane
random,12,73,994,310.05,False,9,cis-2-PENTENE
random,12,74,596,372.4,False,9,(R)-(-)-2-Butanol
random,12,75,143,675.0,False,9,1-Tetracosanol
random,12,76,446,407.15,False,9,"2,2,3-Trimethylhexane"
random,12,77,1181,445.15,False,9,2-Methyl-4-isopropylheptane
random,12,78,1120,445.15,False,9,(S)-(+)-4-Methyl-1-hexanol
random,12,79,101,394.45,False,9,1-Octene
random,12,80,1206,462.15,True,10,"3,3-Diethyl-2,4-dimethylpentane"
random,12,81,853,484.15,False,10,"2,2-Dimethyl-1-octanol"
random,12,82,769,453.22759,True,11,4-Methyl-4-octanol
random,12,83,1186,472.15,True,12,"3,4-Diethyloctane"
random,12,84,400,459.15,True,13,6-Methylhept-5-en-2-ol
random,12,85,1220,463.15,True,14,"2,5-Dimethyl-4-propylheptane"
random,12,86,1016,395.55,False,14,trans-4-Octene
random,12,87,581,515.65,False,14,"3,6,9,12,15,18-Hexaoxaicosane-1,20-diol"
random,12,88,1138,463.15,True,15,"4-Ethyl-2,6-dimethyloctane"
random,12,89,988,276.87,False,15,cis-2-Butene
random,12,90,127,371.53,False,15,Heptane
random,12,91,460,474.15,False,15,"2,2-Dimethyldecane"
random,12,92,189,336.55,False,15,1-Hexene
random,12,93,746,418.0,False,15,2-Methyl-2-octene
random,12,94,1200,432.40963,False,15,"3,4,4-Trimethylpentan-2-ol"
random,12,95,1088,383.57,False,15,"5,5-Dimethyl-2-hexene"
random,12,96,1241,457.15,True,16,"2,2,5,5-Tetramethyloctane"
random,12,97,84,394.15,False,16,"N,N,N',N'-Tetramethylethylenediamine"
random,12,98,997,460.44,True,17,"(E,E,Z)-Undeca-1,3,5,8-tetraene"
random,12,99,261,762.15,False,17,Pentatriacontane
random,12,100,859,429.65,False,17,"2,3,4-Trimethyl-3-pentanol"
random,12,101,583,355.15,False,17,Neopentylamine
random,12,102,849,429.26,False,17,"3-Ethyl-2,2-dimethylhexane"
random,12,103,507,413.19803,False,17,tert-Octylamine
random,12,104,840,471.15,True,18,"2,5-Dimethyldecane"
random,12,105,387,413.06493,False,18,"2,3,6-Trimethylheptane"
random,12,106,968,342.05,False,18,cis-2-Hexene
random,12,107,313,554.75,False,18,2-Methylpentadecane
random,12,108,1076,456.28,True,19,"1,3,5-Undecatriene"
random,12,109,862,383.45,False,19,2-Ethyl-4-methyl-1-pentene
random,12,110,214,366.55,False,19,3-Ethylpentane
random,12,111,1169,473.15,False,19,"4,4-Diethyloctane"
random,12,112,986,426.15,False,19,trans-3-Hexen-1-ol
random,12,113,237,443.15,False,19,5-Methyl-1-hexanol
random,12,114,216,391.65,False,19,3-Ethylhexane
